Time,X(CH1),
Second,Volt,
-1.3799570e+00,5.76000e-02,
-1.3699570e+00,5.44000e-02,
-1.3599570e+00,5.84000e-02,
-1.3499570e+00,5.44000e-02,
-1.3399570e+00,5.52000e-02,
-1.3299570e+00,6.00000e-02,
-1.3199570e+00,6.08000e-02,
-1.3099570e+00,5.60000e-02,
-1.2999570e+00,5.76000e-02,
-1.2899570e+00,6.16000e-02,
-1.2799571e+00,5.76000e-02,
-1.2699571e+00,6.24000e-02,
-1.2599571e+00,5.84000e-02,
-1.2499571e+00,6.32000e-02,
-1.2399571e+00,6.32000e-02,
-1.2299571e+00,5.84000e-02,
-1.2199571e+00,6.40000e-02,
-1.2099571e+00,5.92000e-02,
-1.1999571e+00,6.48000e-02,
-1.1899571e+00,6.08000e-02,
-1.1799572e+00,6.08000e-02,
-1.1699572e+00,6.56000e-02,
-1.1599572e+00,6.16000e-02,
-1.1499572e+00,6.72000e-02,
-1.1399572e+00,6.32000e-02,
-1.1299572e+00,6.80000e-02,
-1.1199572e+00,6.80000e-02,
-1.1099572e+00,6.40000e-02,
-1.0999572e+00,6.88000e-02,
-1.0899572e+00,6.48000e-02,
-1.0799572e+00,6.48000e-02,
-1.0699573e+00,7.04000e-02,
-1.0599573e+00,6.64000e-02,
-1.0499573e+00,7.12000e-02,
-1.0399573e+00,7.12000e-02,
-1.0299573e+00,6.72000e-02,
-1.0199573e+00,7.12000e-02,
-1.0099573e+00,6.72000e-02,
-9.9995732e-01,6.80000e-02,
-9.8995733e-01,7.28000e-02,
-9.7995734e-01,6.80000e-02,
-9.6995735e-01,7.36000e-02,
-9.5995736e-01,6.96000e-02,
-9.4995737e-01,7.44000e-02,
-9.3995738e-01,7.44000e-02,
-9.2995739e-01,7.04000e-02,
-9.1995740e-01,7.52000e-02,
-9.0995741e-01,7.12000e-02,
-8.9995742e-01,7.20000e-02,
-8.8995743e-01,7.60000e-02,
-8.7995744e-01,7.68000e-02,
-8.6995745e-01,7.20000e-02,
-8.5995746e-01,7.68000e-02,
-8.4995747e-01,7.36000e-02,
-8.3995748e-01,7.76000e-02,
-8.2995749e-01,7.36000e-02,
-8.1995749e-01,7.76000e-02,
-8.0995750e-01,7.36000e-02,
-7.9995751e-01,7.44000e-02,
-7.8995752e-01,7.92000e-02,
-7.7995753e-01,7.44000e-02,
-7.6995754e-01,8.00000e-02,
-7.5995755e-01,8.00000e-02,
-7.4995756e-01,7.60000e-02,
-7.3995757e-01,8.08000e-02,
-7.2995758e-01,7.68000e-02,
-7.1995759e-01,7.68000e-02,
-7.0995760e-01,8.16000e-02,
-6.9995761e-01,8.16000e-02,
-6.8995762e-01,7.68000e-02,
-6.7995763e-01,7.76000e-02,
-6.6995764e-01,8.24000e-02,
-6.5995765e-01,7.76000e-02,
-6.4995766e-01,8.24000e-02,
-6.3995767e-01,7.84000e-02,
-6.2995768e-01,8.32000e-02,
-6.1995769e-01,8.32000e-02,
-6.0995770e-01,7.92000e-02,
-5.9995770e-01,8.40000e-02,
-5.8995771e-01,8.00000e-02,
-5.7995772e-01,8.32000e-02,
-5.6995773e-01,1.04000e-02,
-5.5995774e-01,1.20000e-02,
-5.4995775e-01,6.40000e-03,
-5.3995776e-01,1.04000e-02,
-5.2995777e-01,6.40000e-03,
-5.1995778e-01,1.04000e-02,
-5.0995779e-01,5.60001e-03,
-4.9995780e-01,1.04000e-02,
-4.8995781e-01,5.60001e-03,
-4.7995782e-01,1.04000e-02,
-4.6995783e-01,6.40000e-03,
-4.5995784e-01,1.04000e-02,
-4.4995785e-01,6.40000e-03,
-4.3995786e-01,1.04000e-02,
-4.2995787e-01,6.40000e-03,
-4.1995788e-01,1.04000e-02,
-4.0995789e-01,6.40000e-03,
-3.9995790e-01,1.04000e-02,
-3.8995790e-01,6.40000e-03,
-3.7995791e-01,6.40000e-03,
-3.6995792e-01,1.12000e-02,
-3.5995793e-01,1.12000e-02,
-3.4995794e-01,6.40000e-03,
-3.3995795e-01,6.40000e-03,
-3.2995796e-01,1.12000e-02,
-3.1995797e-01,6.40000e-03,
-3.0995798e-01,1.12000e-02,
-2.9995799e-01,1.04000e-02,
-2.8995800e-01,6.40000e-03,
-2.7995801e-01,1.04000e-02,
-2.6995802e-01,6.40000e-03,
-2.5995803e-01,1.04000e-02,
-2.4995802e-01,6.40000e-03,
-2.3995802e-01,1.04000e-02,
-2.2995801e-01,6.40000e-03,
-2.1995801e-01,6.40000e-03,
-2.0995800e-01,1.12000e-02,
-1.9995800e-01,1.04000e-02,
-1.8995799e-01,6.40000e-03,
-1.7995799e-01,1.04000e-02,
-1.6995798e-01,6.40000e-03,
-1.5995798e-01,6.40000e-03,
-1.4995797e-01,1.12000e-02,
-1.3995796e-01,6.40000e-03,
-1.2995796e-01,1.12000e-02,
-1.1995796e-01,6.40000e-03,
-1.0995796e-01,1.12000e-02,
-9.9957965e-02,6.40000e-03,
-8.9957967e-02,1.12000e-02,
-7.9957969e-02,1.12000e-02,
-6.9957972e-02,6.40000e-03,
-5.9957974e-02,6.40000e-03,
-4.9957976e-02,1.12000e-02,
-3.9957978e-02,1.12000e-02,
-2.9957978e-02,6.40000e-03,
-1.9957978e-02,1.04000e-02,
-9.9579785e-03,9.92000e-02,
